Room,EnergyUse,PeopleNum,Availability
125C,H,4,N
107E,L,8,N
100,M,12,N
121,M,0,Y
123E,H,2,N
123F,L,0,Y
123G,M,4,N
123H,H,0,Y
123J,L,5,N
123K,M,0,Y
123L,H,2,N
123D,L,0,Y
123C,L,6,N
123B,L,0,Y
123A,M,3,N
125B,H,0,Y
125E,M,4,N
125A,L,0,Y
123M,L,1,N
120,M,2,N
107D,M,4,N
107C,H,0,Y
107B,M,5,N
107A,L,0,Y
103,L,2,N
101,M,0,Y
100A,H,6,N
100B,M,4,N
111,L,0,Y
113,L,1,N
115,M,2,N
117,M,4,N
112,H,0,Y
114,M,5,N
116,L,0,Y
110B,L,2,N
126A,L,2,N
126B,M,0,Y
126C,H,6,N
126D,M,4,N
119D,M,4,N
119,H,0,Y
175,M,5,N
119C,L,0,Y
119B,L,0,Y
119A,L,6,N
172C,M,2,N
118J,M,4,N
118K,H,0,Y
118L,M,6,N
118M,L,0,Y
118N,L,2,N
118P,M,0,Y
118Q,H,6,N
118A,M,3,N
118R,L,0,Y
118H,L,1,N
118G,M,2,N
118E,M,4,N
118D,H,0,Y
118B,M,5,N
107H,L,0,Y
107,L,2,N
A7C,H,0,Y
A7BB,M,5,N
A7B,L,0,Y
A7A,L,2,N
A1,M,0,Y
A7D,H,6,N
A7E,M,4,N
A7F,L,0,Y
A18B,L,1,N
A18D,M,2,N
A11,M,2,N
A15,M,4,N
A17,H,0,Y
A44,L,0,Y
A18C,M,4,N
A18A,H,0,Y
A19,L,5,N
A19A,M,0,Y
A19B,H,2,N
A19C,L,0,Y
A19D,L,6,N
A46,L,0,Y
A17C,L,1,N
A17B,M,2,N
A23,H,0,Y
A21A,M,5,N
A21,L,0,Y
A20,L,2,N
A20A,M,0,Y
A22,H,6,N
A27,M,4,N
A27B,L,0,Y
A27C,L,1,N
A27E,M,2,N
A27F,M,4,N
A27H,H,0,Y
A27G,M,5,N
A43,L,0,Y
A14A,L,2,N
A12,L,2,N
A10,M,0,Y
A4A,H,6,N
A2,M,4,N
A4B,M,4,N
A4C,H,0,Y